title,link
[투표율]대선 사전투표 둘째 날 오후 2시 현재 28.59%..전남 48.58%,http://v.daum.net/v/20250530142602271
"[사전투표] ""내 지역구 투표율 90% 돌파"" 정준호 의원 '해프닝'",http://v.daum.net/v/20250530143414581
이 시각 전국 사전투표율 28.6%…전남 가장 높고 대구 가장 낮아,http://v.daum.net/v/20250530143254531
[속보] 사전투표 둘째 날 오후 1시 투표율 27.17%…역대 최고,http://v.daum.net/v/20250530132205162
사전투표율 30% 육박…한풀 꺾인 증가세,http://v.daum.net/v/20250530153628047
[6·3 대선] 오전 11시 사전투표율 24.55%…전남 43.04%,http://v.daum.net/v/20250530110252572
사전투표율 오후 3시 기준 29.97%…대구 21.67%,http://v.daum.net/v/20250530153818110
부산 오후 3시 사전투표율 26.12%…지난 대선 밑돌아,http://v.daum.net/v/20250530152411536
"11시 기준 강원도 사전투표율 26.02%, 20대 대선보다 높아",http://v.daum.net/v/20250530153547014
"TK 사전투표율 저조 뚜렷, 대구 전국 최하위…부정선거론 영향 미쳤나",http://v.daum.net/v/20250530145642377
사전투표율 오후 3시 29.97%…전남 50% 넘어,http://v.daum.net/v/20250530150502745
사전투표 둘째날 정오 투표율 25.79%…지난 대선보다 0.6%p↑,http://v.daum.net/v/20250530121126681
[속보] 둘째 날 3시 사전투표율 29.97%… 20대 대선보다 0.77%p↓,http://v.daum.net/v/20250530145647383
충북 사전투표율 지난 대선 때보다 낮아,http://v.daum.net/v/20250530150240650
대선 사전투표 이틀째...오후 3시 기준 투표율 29.97%,http://v.daum.net/v/20250530151200001
이틀차 오후 3시 사전투표율 29.97%…전남 50.58% 1위,http://v.daum.net/v/20250530152108410
투표자 1천만 명 넘겼다...이 시각 투표율 [앵커리포트],http://v.daum.net/v/20250530141027731
사전투표 둘째날 충남권 오후 2시 누적투표율 28.97%…지난 대선보다↓,http://v.daum.net/v/20250530145643379
‘도로까지 이어진 투표 대기줄’…대선 사전투표 마지막 날 오후 1시 기준 투표율 최고치 기록 [현장 화보],http://v.daum.net/v/20250530153243909
"사전투표율 주춤, 20대 대선보다 낮아…2시 사전투표율 28.59%",http://v.daum.net/v/20250530142920394
"최종 사전투표율 전보다 낮을 듯…2시 기준 28.59%, 대구 '전국 최저'",http://v.daum.net/v/20250530142914389
"사전투표 둘째날, 강원 2시 투표율 30.36%…20대 대선보다 낮아",http://v.daum.net/v/20250530144502947
투표율 40% 넘은 광주·전남…전국 평균보다 낮은 경기,http://v.daum.net/v/20250530135734292
라디오) 전남 사전투표율 48.58%...전국 최고,http://v.daum.net/v/20250530152044375
지난 대선보다 낮아진 사전투표율…오후 3시 29.97%,http://v.daum.net/v/20250530132523261
[사전투표율] 2일차 오후 3시 전국 29.97%.. 제주 30.67%,http://v.daum.net/v/20250530151248035
[대선 사전투표율] 30일 오후3시 29.97%...대구 21.67% 경북 27.03%,http://v.daum.net/v/20250530152030367
오후 2시 투표율 28.59%…대리 투표 선거사무원 체포,http://v.daum.net/v/20250530141209801
'역대 최고' 사전투표율 뒷심 떨어져…지난 대선과 격차 1%p 아래로,http://v.daum.net/v/20250530134508935
전남 46.52%·대구 19.38%…사전투표 둘째 날 13시 투표율,http://v.daum.net/v/20250530134859036
