종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,44550,24.03,8530,19.15,93.69,43.59,7.40,2.25,800,4500,800,1550
이지스밸류플러스리츠,4465,25.06,785,17.58,0430.66,00.52,0108.14,0.59,412,412,351,293
레드캡투어,12520,25.03,2150,17.17,177.53,9.64,7.26,0.67,450,450,450,400
신한글로벌액티브리츠,1583,25.02,253,15.98,0115.10,05.52,014.91,0.65,24,10,24,0
NH프라임리츠,4505,24.11,658,14.61,137.10,6.38,11.26,0.72,531,531,225,248
제이알글로벌리츠,2765,24.12,390,14.10,186.25,2.48,26.31,0.67,385,385,373,366
크레버스,14240,25.04,1500,10.53,167.06,17.99,21.71,3.06,2000,2000,1800,2000
미래에셋맵스리츠,2735,24.11,284,10.38,215.00,1.60,42.27,0.64,284,284,279,268
이크레더블,15830,24.12,1590,10.04,148.28,27.34,12.07,3.18,780,780,1040,2720
미래에셋글로벌리츠,2755,25.03,274,9.95,0,0,0,0,40,262,286,40
HB인베스트먼트,2055,24.12,200,9.73,89.81,8.28,6.99,0.49,0,0,0,0
코람코라이프인프라리츠,4440,24.11,416,9.38,164.56,4.96,16.20,0.83,475,366,350,475
KB스타리츠,3965,25.01,368,9.28,96.26,4.54,17.19,0.85,376,376,165,0
정다운,2715,24.12,250,9.21,68.61,9.33,7.31,0.65,300,300,100,100
NH올원리츠,3730,24.12,340,9.11,0830.66,00.56,0135.96,0.80,316,288,316,106
마스턴프리미어리츠,1465,24.09,127,8.69,79.60,1.26,40.75,0.55,299,299,109,0
정상제이엘에스,6150,24.12,530,8.62,94.60,9.05,12.55,1.08,530,530,530,530
현대해상,24850,24.03,2063,8.30,28.16,7.38,4.82,0.40,1965,1965,1480,1000
한국철강,9870,24.12,800,8.10,112.95,2.82,15.14,0.28,400,400,300,250
도이치모터스,4700,24.12,380,8.09,0224.96,01.22,028.41,0.33,370,370,360,350
디앤디플랫폼리츠,3295,25.03,260,7.90,0,0,0,0,290,270,290,224
현대차3우B,153600,25.02,12050,7.84,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차2우B,154500,25.02,12100,7.83,25.13,12.43,4.60,0.51,7100,11500,7100,5100
현대차우,153900,25.02,12050,7.83,25.13,12.43,4.60,0.51,7050,11450,7050,5050
이리츠코크렙,4640,24.12,362,7.80,221.83,2.19,51.71,1.16,405,404,405,383
영보화학,4525,24.12,350,7.74,30.26,13.01,3.16,0.38,50,50,50,100
노바텍,18300,24.12,1409,7.70,80.44,10.80,8.95,0.87,500,500,200,143
오상자이엘,3905,24.12,300,7.68,89.07,6.36,10.03,0.61,0,0,0,0
동국씨엠,6540,25.03,500,7.64,23.40,6.45,2.79,0.17,100,100,0,0
와이솔,6560,25.03,500,7.62,125.30,3.12,12.99,0.39,250,250,250,250
광주신세계,29050,25.03,2200,7.57,36.34,5.58,4.97,0.26,2200,2200,2200,1700
서울보증보험,38500,25.04,2865,7.44,93.87,4.12,0,0.00,4048,2983,4048,3282
유아이엘,3635,24.12,270,7.43,28.64,16.63,3.77,0.56,0,0,0,0
조선내화,13470,24.12,1000,7.42,203.40,2.68,31.46,0.83,0,0,0,0
트윔,8090,24.09,600,7.42,122.17,2.48,31.66,0.74,0,0,0,0
CR홀딩스,5540,24.12,410,7.40,0671.46,00.39,0114.31,0.39,450,410,450,450
INVENI,54200,25.02,4000,7.38,58.92,6.16,10.41,0.45,8750,8750,2500,2250
케이카,15670,24.12,1150,7.34,126.03,19.09,14.04,2.73,760,760,760,750
HRS,5460,24.12,400,7.33,42.31,12.74,5.01,0.60,200,200,200,200
아이마켓코리아,8200,24.12,600,7.32,70.04,7.66,9.92,0.70,600,600,600,600
메가스터디,10940,24.12,800,7.31,56.66,5.12,7.91,0.38,850,850,1050,600
스카이라이프,4835,24.12,350,7.24,012.18,021.72,01.65,0.41,350,350,350,350
블랙야크아이앤씨,3850,25.03,278,7.22,29.99,40.28,0,0.00,13,0,13,0
유안타증권우,3475,25.03,250,7.19,57.14,4.52,7.65,0.33,230,230,160,230
HS애드,7690,25.03,550,7.15,39.29,11.77,4.63,0.51,450,450,400,350
케이탑리츠,951,24.12,68,7.15,62.35,5.07,8.86,0.44,95,95,108,38
한화리츠,3815,25.04,270,7.09,0,0,0,0,270,270,112,0
이지스레지던스리츠,4220,24.12,297,7.05,59.56,3.30,13.26,0.45,262,262,262,258
세아특수강,14210,24.12,1000,7.04,76.09,3.34,10.24,0.33,1200,1000,1000,1200
에스에이엠티,2845,24.12,200,7.03,35.89,13.46,4.79,0.59,230,200,230,200
바이오인프라,5750,24.12,400,6.96,048.94,012.92,07.80,1.13,600,600,0,0
현대엘리베이터,79100,24.12,5500,6.95,108.40,14.42,11.18,1.51,800,4000,500,800
SK네트웍스,4325,25.04,300,6.94,121.68,2.29,19.43,0.39,200,200,120,120
푸른저축은행,9430,24.12,650,6.89,96.74,2.50,16.25,0.32,650,650,650,650
LX인터내셔널,29050,25.02,2000,6.89,40.94,7.12,5.97,0.37,3000,1200,3000,2300
대신증권2우B,17440,25.03,1200,6.88,68.52,4.57,10.00,0.35,1400,1200,1200,1400
씨유테크,3360,24.12,231,6.88,30.06,12.45,3.73,0.43,64,16,64,260
신한서부티엔디리츠,3630,24.12,248,6.83,70.82,3.96,18.71,0.74,89,290,316,89
KISCO홀딩스,26350,24.12,1800,6.83,70.13,2.82,9.94,0.21,900,900,600,400
코리아에셋투자증권,7340,24.07,500,6.81,55.00,6.40,5.75,0.36,700,200,700,450
스톰테크,3825,24.12,260,6.80,47.35,0,5.79,0.93,150,150,0,0
기아,95900,25.03,6500,6.78,26.18,19.09,4.12,0.71,5600,5600,3500,3000
강원랜드,17310,25.04,1170,6.76,51.32,12.08,7.48,0.82,930,930,350,0
KPX케미칼,48150,24.12,3250,6.75,24.07,9.66,3.31,0.30,3000,3000,2750,2750
코람코더원리츠,5190,25.02,350,6.74,119.17,1.59,60.31,0.97,331,331,312,124
디지털대성,7440,24.12,500,6.72,86.41,10.45,12.59,1.36,300,200,200,300
SGC에너지,25300,24.12,1700,6.72,37.67,8.80,5.47,0.47,1700,1700,1700,1500
AJ네트웍스,4025,24.12,270,6.71,55.55,5.04,8.96,0.43,270,270,270,270
SK텔레콤,53000,25.02,3540,6.68,60.28,10.83,9.50,1.00,3540,3540,3320,2660
대신증권우,18740,25.03,1250,6.67,68.52,4.57,10.00,0.35,1450,1250,1250,1450
유화증권우,2570,24.12,170,6.61,55.40,3.50,9.16,0.26,140,130,120,140
KZ정밀,12200,24.12,800,6.56,65.63,4.69,10.29,0.41,600,600,400,350
GS우,42200,25.02,2750,6.52,45.10,4.12,6.56,0.26,2550,2550,2550,2050
윈스테크넷,12380,24.12,800,6.46,44.53,10.86,8.41,0.76,500,500,500,500
제일기획,19040,24.12,1230,6.46,60.03,15.12,9.40,1.18,990,1110,1150,990
삼현철강,4650,24.12,300,6.45,84.11,2.83,12.76,0.35,300,300,300,300
맥쿼리인프라,11800,24.12,759,6.43,0,0,0,0,770,770,762,741
엔브이에이치코리아,2340,24.12,150,6.41,53.31,5.35,8.30,0.42,93,150,112,93
대덕,7810,25.03,500,6.40,77.70,3.68,10.25,0.37,400,400,400,300
무학,8140,24.12,520,6.39,28.44,8.72,3.72,0.29,230,230,230,230
교보증권,7830,25.03,500,6.39,6.93,6.09,5.38,0.32,500,250,200,500
한솔로지스틱스,2350,25.03,150,6.38,48.64,7.00,6.71,0.45,70,100,70,60
한국쉘석유,424500,24.12,27000,6.36,95.76,28.93,11.30,3.25,25000,25000,18000,19000
이지홀딩스,3935,24.12,250,6.35,94.80,2.70,10.55,0.26,75,120,75,50
기업은행,16820,25.03,1065,6.33,32.11,8.06,4.32,0.34,984,984,960,780
ESR켄달스퀘어리츠,4350,24.11,274,6.30,810.80,0.33,282.50,0.94,272,272,270,262
이노션,18660,25.03,1175,6.30,46.88,10.48,7.74,0.77,900,1175,1075,900
대창스틸,2385,24.12,150,6.29,414.72,0.51,57.93,0.30,150,150,150,150
NH투자증권우,15980,25.03,1000,6.26,47.96,8.73,7.06,0.59,850,850,750,1100
코오롱인더우,21600,24.12,1350,6.25,40.06,3.06,8.34,0.23,1350,1350,1350,1350
신한알파리츠,5540,25.03,346,6.24,0,0,0,0,817,817,367,347
네오티스,3230,24.12,200,6.19,55.12,9.38,9.04,0.80,250,200,250,250
지엠비코리아,4040,24.12,250,6.19,31.03,5.76,4.55,0.26,80,150,80,80
DB손해보험,110000,25.03,6800,6.18,22.05,18.98,3.93,0.66,5300,5300,4600,3500
KPX홀딩스,69400,24.12,4250,6.12,21.48,8.02,2.86,0.21,3500,3500,3000,3000
진양폴리,4090,24.12,250,6.11,79.02,9.74,20.99,2.03,250,250,200,175
삼성화재우,311000,25.03,19005,6.11,38.95,13.11,8.74,0.98,16005,16005,13805,12005
창해에탄올,9850,24.12,600,6.09,36.37,9.71,6.60,0.51,600,600,500,600
진양홀딩스,3295,24.12,200,6.07,72.95,4.21,11.23,0.47,200,200,200,170
세화피앤씨,824,24.12,50,6.07,62.68,8.22,10.24,0.82,17,17,10,15
SJM홀딩스,3715,24.12,225,6.06,32.21,5.88,5.10,0.26,225,225,150,175
대덕1우,8340,25.03,505,6.05,77.70,3.68,10.25,0.37,405,405,405,305
동국제강,9910,25.03,600,6.05,85.34,2.04,11.39,0.23,700,700,0,0
피에스텍,4130,24.12,250,6.05,72.75,4.36,13.46,0.50,250,250,200,150
서원인텍,5790,24.12,350,6.05,36.88,8.40,5.76,0.47,400,400,400,350
효성ITX,12410,24.12,750,6.04,75.93,16.71,12.90,2.06,750,750,750,750
동양생명,6620,24.04,400,6.04,26.01,6.18,3.05,0.25,620,0,620,220
동국홀딩스,8280,25.03,500,6.04,132.42,0.72,19.96,0.14,600,600,500,400
멀티캠퍼스,34800,24.12,2100,6.03,40.06,15.16,5.70,0.82,800,1600,800,600
TKG휴켐스,16650,24.12,1000,6.01,49.41,9.09,8.98,0.75,1000,1000,1000,1000
부국증권우,25900,25.04,1550,5.99,43.63,4.05,11.79,0.32,1650,1550,1550,1650
현대차,200500,25.02,12000,5.99,25.13,12.43,4.60,0.51,7000,11400,7000,5000
SK디앤디,10030,25.03,600,5.98,25.26,6.64,3.20,0.24,800,800,800,800
유화증권,2680,24.12,160,5.97,55.40,3.50,9.16,0.26,130,120,110,130
맵스리얼티1,4450,24.12,265,5.95,0,0,0,0,265,265,250,250
디씨엠,13450,24.12,800,5.95,36.69,7.54,6.87,0.38,900,150,900,900
서호전기,42300,24.12,2500,5.91,100.04,12.69,9.25,1.06,1500,1500,1500,1000
한양증권우,16930,24.12,1000,5.91,32.39,0,4.01,0.30,950,850,850,950
진로발효,18630,24.12,1100,5.90,71.02,12.59,10.92,1.29,650,650,450,1150
한세예스24홀딩스,4240,25.03,250,5.90,215.62,0.90,37.15,0.33,250,250,250,250
삼성FN리츠,4645,25.01,274,5.89,254.07,0.66,159.99,1.00,266,266,0,0
골프존,68300,24.12,4000,5.86,48.23,11.62,8.24,0.89,4500,4500,4500,3500
우리금융지주,20500,25.02,1200,5.85,28.87,9.38,3.71,0.33,900,1000,1130,900
삼성카드,48350,25.03,2800,5.79,44.96,8.00,6.88,0.50,2500,2500,2500,2300
유안타증권,3460,25.03,200,5.78,57.14,4.52,7.65,0.33,180,180,110,180
TJ미디어,5570,24.12,320,5.74,96.04,5.42,14.09,0.77,60,320,230,60
GS,47050,25.02,2700,5.74,45.10,4.12,6.56,0.26,2500,2500,2500,2000
극동유화,3495,24.12,200,5.72,74.94,4.40,13.89,0.58,200,200,200,160
유수홀딩스,6130,25.04,350,5.71,55.36,4.87,8.43,0.41,400,350,400,400
원풍,4385,24.12,250,5.70,37.67,7.87,6.72,0.47,220,220,200,170
화인써키트,6140,24.12,350,5.70,91.46,10.18,15.42,1.51,431,400,431,35
롯데리츠,3745,24.12,213,5.69,304.94,0.95,74.32,0.75,300,200,300,292
한일현대시멘트,15880,24.12,900,5.67,28.97,14.60,4.36,0.61,700,700,600,1200
SK리츠,4730,25.03,268,5.67,0,0,0,0,311,311,261,186
에이블씨엔씨,7260,25.03,411,5.66,73.50,16.26,12.48,1.99,1427,1427,0,0
삼화페인트,6190,25.02,350,5.65,56.16,4.87,10.80,0.47,400,400,250,100
한솔제지,8850,25.03,500,5.65,039.12,04.31,06.74,0.30,700,500,700,600
에코마케팅,8850,24.12,500,5.65,52.30,12.87,10.68,1.30,310,200,310,310
LX하우시스우,18700,25.02,1050,5.61,22.64,5.20,7.20,0.37,350,1750,250,350
KB오토시스,3565,24.12,200,5.61,78.12,2.58,12.34,0.31,150,150,150,120
한국컴퓨터,5000,24.12,280,5.60,27.35,9.28,5.83,0.43,300,300,250,180
한전KPS,44300,24.12,2469,5.57,64.43,13.26,11.51,1.49,2158,2158,1305,1199
BNK금융지주,11680,25.02,650,5.57,28.46,6.96,4.56,0.31,625,510,625,560
삼일기업공사,3600,24.12,200,5.56,42.43,8.71,8.25,0.70,175,175,125,100
삼성증권,63000,24.12,3500,5.56,34.76,12.89,4.32,0.53,3800,2200,1700,3800
포스코스틸리온,39050,25.03,2160,5.53,37.77,9.24,5.06,0.45,875,1615,875,1000
이퓨쳐,4525,25.02,250,5.53,39.57,10.69,8.01,0.66,0,0,0,0
KCC글라스,32650,25.02,1800,5.51,77.66,2.48,16.25,0.40,2400,2200,2400,2400
한국주철관,7260,24.12,400,5.51,63.05,3.88,10.36,0.38,400,400,400,400
모토닉,10900,24.12,600,5.51,40.10,7.07,8.61,0.39,450,450,400,400
링네트,4380,24.12,240,5.48,29.76,12.67,7.02,0.71,81,81,0,0
한양증권,17350,24.12,950,5.48,32.39,0,4.01,0.30,900,800,800,900
안국약품,8070,24.12,440,5.45,29.69,10.60,5.06,0.45,220,220,220,220
한국토지신탁,1287,24.12,70,5.44,091.60,01.68,015.34,0.23,90,70,90,100
고스트스튜디오,8770,24.12,477,5.44,72.53,5.63,13.94,0.77,945,678,1307,945
한일시멘트,18660,24.12,1000,5.36,37.63,11.13,5.46,0.58,800,800,580,540
한국앤컴퍼니,18770,25.03,1000,5.33,27.01,8.28,4.58,0.36,700,700,650,600
에스텍,16040,24.12,850,5.30,15.45,25.76,2.48,0.43,500,500,300,0
모나리자,2840,24.03,150,5.28,59.97,11.51,10.50,1.18,75,50,0,75
NH투자증권,17990,25.03,950,5.28,47.96,8.73,7.06,0.59,800,800,700,1050
코리안리,9830,25.04,515,5.24,28.74,9.44,4.89,0.41,458,458,311,324
JB금융지주,19010,25.02,995,5.23,28.00,12.80,4.69,0.55,855,855,835,599
YW,3825,24.12,200,5.23,37.63,5.31,9.62,0.36,200,200,150,100
대덕전자1우,7800,25.03,405,5.19,86.76,2.72,33.60,0.91,405,305,405,305
DB증권,7730,25.03,400,5.18,32.04,4.94,4.38,0.20,500,200,170,500
웅진씽크빅,1750,24.12,90,5.14,052.12,06.44,09.30,0.60,130,0,110,130
세아베스틸지주,23350,25.03,1200,5.14,190.45,1.04,35.02,0.37,1500,1200,1200,1500
LG우,61500,25.03,3150,5.12,83.20,2.16,20.08,0.41,3150,3150,3050,2850
삼양사우,35250,24.12,1800,5.11,14.47,7.53,4.19,0.28,1800,1800,1300,1300
SJM,3435,24.12,175,5.09,13.13,10.21,2.16,0.21,175,175,100,150
에이스침대,28500,24.12,1450,5.09,21.22,9.70,4.22,0.37,1400,1400,1330,1330
한국타이어앤테크놀로지,39550,25.03,2000,5.06,21.89,10.79,4.27,0.42,800,1300,800,700
한국금융지주우,80000,25.02,4042,5.05,22.39,11.54,4.22,0.43,6212,2712,2362,6212
대상우,17070,25.03,860,5.04,32.18,6.94,7.26,0.49,810,810,810,810
SB성보,2680,24.12,135,5.04,076.82,02.66,014.42,0.39,135,135,135,120
신라교역,9960,24.12,500,5.02,19.93,6.75,3.79,0.25,500,500,500,500
지역난방공사,77400,25.04,3879,5.01,21.37,9.65,2.28,0.21,797,0,0,797
미원화학,80200,24.12,4000,4.99,29.79,17.55,6.44,0.98,3500,3500,2500,2500
태원물산,4025,24.12,200,4.97,8.40,47.06,1.61,0.60,55,140,50,55
LG유플러스,13080,25.03,650,4.97,74.61,4.40,12.04,0.52,650,650,650,550
경동제약,6040,24.12,300,4.97,147.77,2.44,34.48,0.75,500,400,400,500
동아엘텍,3020,24.12,150,4.97,08.81,021.43,02.45,0.51,75,75,100,75
다우기술,28250,25.03,1400,4.96,16.98,13.16,2.25,0.27,700,700,600,600
현대홈쇼핑,56500,25.04,2800,4.96,20.33,7.42,3.46,0.24,2800,2800,2600,2400
대한제당우,2525,24.12,125,4.95,55.31,3.68,12.53,0.45,125,120,125,115
KG이니시스,10140,24.12,500,4.93,32.27,8.63,5.98,0.49,420,420,400,400
한일홀딩스,18870,24.12,930,4.93,24.14,7.56,3.63,0.26,800,800,800,514
세보엠이씨,11170,24.12,550,4.92,15.57,15.50,3.04,0.41,550,550,500,250
인천도시가스,25400,24.12,1250,4.92,26.74,8.85,5.58,0.45,1250,1250,1250,1250
롯데쇼핑,77300,25.03,3800,4.92,011.10,07.74,01.58,0.10,3800,3800,3300,2800
텔코웨어,13020,24.12,640,4.92,66.42,4.48,18.62,0.46,640,640,600,500
대신증권,24450,25.03,1200,4.91,68.52,4.57,10.00,0.35,1400,1200,1200,1400
현대에이치티,8150,24.12,400,4.91,22.30,14.89,3.78,0.48,350,130,130,350
HDC랩스,9200,25.03,450,4.89,54.48,7.23,11.78,0.74,450,450,450,450
피제이메탈,3080,24.12,150,4.87,131.71,4.03,26.47,1.07,150,150,135,150
HL홀딩스,41100,25.03,2000,4.87,94.35,1.91,17.50,0.30,2000,2000,2000,2000
롯데칠성우,70000,25.03,3405,4.86,57.85,3.99,19.05,0.75,3405,3405,3305,3005
한화생명,3125,24.03,150,4.80,14.86,5.43,3.24,0.16,30,0,0,30
진양산업,5870,24.12,281,4.79,36.36,16.55,11.19,1.75,250,250,200,175
나무가,13580,24.12,650,4.79,36.57,16.64,8.23,1.16,0,0,0,0
동방아그로,6280,24.12,300,4.78,38.13,6.01,8.62,0.46,350,300,250,350
나눔테크,2110,24.12,100,4.74,16.56,13.48,3.09,0.39,50,50,0,0
하이트진로2우B,15860,24.12,750,4.73,51.01,8.63,14.51,1.21,850,1000,1000,850
우리손에프앤지,1482,24.12,70,4.72,32.17,5.32,5.74,0.27,50,25,50,50
MH에탄올,5340,24.12,250,4.68,051.51,04.63,013.17,0.55,350,250,250,350
하나금융지주,77200,25.02,3600,4.66,27.17,9.11,4.41,0.37,3400,3400,3350,3100
유진기업,3655,25.03,170,4.65,020.20,06.18,04.42,0.26,170,170,170,170
KX,4085,24.12,190,4.65,9.83,27.09,1.67,0.37,200,200,167,0
케이프,6455,24.12,300,4.65,52.75,7.46,11.30,0.75,300,300,100,100
예스24,4315,24.12,200,4.64,345.11,0.72,79.16,0.63,200,200,200,200
SK우,152500,25.04,7050,4.62,029.83,05.64,07.46,0.29,8050,5050,5050,8050
경농,9760,24.12,450,4.61,46.74,6.97,10.22,0.64,450,450,400,350
태경산업,5430,24.12,250,4.60,35.80,6.63,7.02,0.46,300,270,300,270
대현,1956,24.12,90,4.60,25.07,5.99,6.50,0.38,90,100,110,90
HS화성,10900,24.12,500,4.59,39.48,3.17,8.21,0.24,500,500,500,1000
E1,75400,25.02,3450,4.58,31.73,3.82,7.50,0.24,5150,5150,3600,2200
KG모빌리언스,4815,24.12,220,4.57,82.62,2.84,18.95,0.51,220,220,220,220
무림페이퍼,2190,25.03,100,4.57,10.23,9.39,2.10,0.19,75,75,50,25
씨피시스템,1315,25.03,60,4.56,018.31,029.60,05.52,1.42,29,0,29,0
한세실업,10970,25.03,500,4.56,33.93,8.58,9.77,0.79,500,500,500,500
비비씨,8780,25.03,400,4.56,54.39,5.30,10.57,0.56,400,400,200,0
효성,66100,24.12,3000,4.54,11.07,19.62,1.95,0.36,6500,3000,4500,6500
파트론,6610,24.12,300,4.54,28.33,10.93,7.63,0.69,350,250,300,350
삼영무역,15430,24.12,700,4.54,21.74,10.70,4.14,0.40,600,600,600,550
호전실업,8840,24.12,400,4.53,15.11,14.35,3.23,0.39,300,300,300,250
삼아제약,17720,24.12,800,4.51,22.11,10.50,4.82,0.46,750,750,400,250
쇼박스,3325,25.02,150,4.51,34.15,23.14,7.19,1.49,0,0,0,0
고려신용정보,10060,24.12,450,4.47,47.34,26.86,10.92,2.66,380,380,330,300
지에이이노더스,5590,24.12,250,4.47,7.33,17.38,1.87,0.25,100,100,100,100
위닉스,6710,24.12,300,4.47,010.68,023.45,01.86,0.43,500,300,400,500
위너스,15410,24.12,686,4.45,141.62,9.82,0,0.00,588,588,392,392
DN오토모티브,22500,25.02,1000,4.44,18.26,19.78,3.41,0.54,600,600,500,400
경동도시가스,19710,24.12,875,4.44,18.01,6.61,3.65,0.23,875,875,875,875
KT&G,121700,25.02,5400,4.44,50.48,12.66,11.93,1.25,5200,5200,5000,4800
한섬,16930,25.04,750,4.43,36.08,3.18,7.77,0.22,750,750,750,600
SK케미칼우,27100,25.03,1200,4.43,250.79,0.41,97.08,0.39,700,700,1550,3050
금화피에스시,31800,24.12,1400,4.40,20.65,11.58,3.68,0.40,1300,1300,1300,1300
세아제강,159000,25.03,7000,4.40,14.30,0,2.50,0.30,8000,8000,6000,3500
케이디켐,11400,24.12,500,4.39,34.76,5.38,8.43,0.42,500,500,430,500
메쎄이상,2280,24.12,100,4.39,31.65,21.04,6.32,1.22,50,50,0,0
SK디스커버리우,40050,25.03,1750,4.37,128.60,0.88,31.10,0.26,1750,1750,1750,1550
삼원강재,2525,24.12,110,4.36,33.01,5.37,7.08,0.37,110,110,105,105
일성아이에스,23000,24.12,1000,4.35,52.05,3.41,15.74,0.27,4000,1500,4000,150
하나투어,52900,25.01,2300,4.35,43.74,47.19,10.69,4.81,5000,5000,0,0
스톤브릿지벤처스,4600,24.12,200,4.35,151.72,2.63,29.73,0.76,400,300,400,0
제이에스코퍼레이션,11520,24.12,500,4.34,12.22,23.41,1.95,0.41,450,450,425,300
