0,1,2,3,4,5,6,7,8,9,10,11,12,0,1,2,3,4,5,6,7,8,9,10,11,12,0,1,2,3,4,5,6,7,8,9,10,11,12,0,1,2,3,4,5,6,7,8,9,10,11,12,0,1,2,3,4,5,6,7,8,9
1,삼성전자,"57,800",상승,"1,000",+1.76%,100,"19,390,304","1,115,403","57,700","3,421,551","327,260",11.20,7,삼성전자우,"47,500",상승,"1,150",+2.48%,100,"817,556","47,300","47,500",N/A,N/A,N/A,7,삼성전자우,"47,500",상승,"1,150",+2.48%,100,"47,500","44,882",N/A,N/A,73.65,N/A,7,삼성전자우,"47,500",상승,"1,150",+2.48%,100,"46,700","113,552","815,975",N/A,"5,162",0.80,7,삼성전자우,"47,500",상승,"1,150",+2.48%,100,N/A,N/A,N/A
2,SK하이닉스,"217,500",상승,"10,000",+4.82%,"5,000","4,997,967","1,096,484","217,500","1,583,405","234,673",6.10,8,현대차,"186,000",상승,"2,000",+1.09%,"5,000","538,182","185,100","186,100","3,397,984",-5.87,12.43,8,현대차,"186,000",상승,"2,000",+1.09%,"5,000","186,500","22,904","2,195,225","132,299",35.53,4.25,8,현대차,"186,000",상승,"2,000",+1.09%,"5,000","184,100","23,412","204,758","1,752,312","45,880",0.44,8,현대차,"186,000",상승,"2,000",+1.09%,"5,000","12,000",7.73,"7,001.5"
3,삼성바이오로직스,"1,034,000",상승,"3,000",+0.29%,"2,500","78,581","81,007","1,033,000","735,939","13,201",57.52,9,HD현대중공업,"428,000",보합,0,0.00%,"5,000","313,351","423,000","428,500","193,909",294.77,11.39,9,HD현대중공업,"428,000",보합,0,0.00%,"5,000","429,500","12,208","136,865","6,215",10.58,3.40,9,HD현대중공업,"428,000",보합,0,0.00%,"5,000","410,000","15,376","88,773","144,865","9,880",6.54,,,,,,,,,,
4,LG에너지솔루션,"288,500",상승,"4,000",+1.41%,500,"214,348","61,973","288,000","675,090","5,754",-58.00,10,셀트리온,"160,500",하락,500,-0.31%,"1,000","410,768","161,400","160,500","210,552",-24.48,2.46,10,셀트리온,"160,500",하락,500,-0.31%,"1,000","162,500","17,864","34,752","4,189",21.50,2.04,10,셀트리온,"160,500",하락,500,-0.31%,"1,000","160,000","18,762","222,426","35,573","2,244",1.99,,,,,,,,,,
5,KB금융,"107,900",상승,"7,900",+7.90%,"5,000","2,292,671","241,743","107,900","424,617","80,453",8.49,11,기아,"89,600",상승,"1,200",+1.36%,"5,000","663,587","89,200","89,600","927,559",9.13,19.09,11,기아,"89,600",상승,"1,200",+1.36%,"5,000","90,400","58,748","369,156","97,750",38.47,11.28,11,기아,"89,600",상승,"1,200",+1.36%,"5,000","88,600","109,256","397,673","1,074,488","23,440",0.63,,,,,,,,,,
6,한화에어로스페이스,"845,000",상승,"10,000",+1.20%,"5,000","213,653","178,433","843,000","399,653","17,319",17.09,12,신한지주,"59,900",상승,"4,100",+7.35%,"5,000","1,899,090","55,300","59,900","7,397,643",5.87,8.11,12,신한지주,"59,900",상승,"4,100",+7.35%,"5,000","59,900","67,910","6,809,432","45,582",58.59,0.64,12,신한지주,"59,900",상승,"4,100",+7.35%,"5,000","55,300","70,168","495,842","419,028","8,740",0.53,,,,,,,,,,
7,삼성전자우,"47,500",상승,"1,150",+2.48%,100,"1,686,067","79,637","47,450","387,588",N/A,9.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,현대차,"186,000",상승,"2,000",+1.09%,"5,000","577,325","107,020","186,000","380,849","142,396",4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HD현대중공업,"428,000",보합,0,0.00%,"5,000","250,762","105,627","428,000","379,949","7,052",43.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,셀트리온,"160,500",하락,500,-0.31%,"1,000","468,416","75,387","160,400","356,994","4,920",71.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
