N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
1,삼성전자,"57,800",상승,"1,000",+1.76%,100,"19,390,304","1,115,403","57,700","3,421,551","327,260",11.20,100,"12,870,515","57,200","57,800","5,145,319",398.34,100,"57,900","637,190","1,123,399","344,514",49.64,100,"56,800","2,228,750","5,919,638","3,008,709","5,162",100,"1,446"
2,SK하이닉스,"217,500",상승,"10,000",+4.82%,"5,000","4,997,967","1,096,484","217,500","1,583,405","234,673",6.10,"5,000","1,775,752","218,000","218,000","1,198,552",403.58,"5,000","223,000","214,223","459,395","197,969",54.41,"5,000","216,500","441,034","728,002","661,930","35,682","5,000","2,204"
3,삼성바이오로직스,"1,034,000",상승,"3,000",+0.29%,"2,500","78,581","81,007","1,033,000","735,939","13,201",57.52,"2,500","47,043","1,031,000","1,034,000","173,363",18.53,"2,500","1,040,000","4,005","64,316","10,833",12.86,"2,500","1,025,000","9,469","71,174","45,473","17,977","2,500",0
4,LG에너지솔루션,"288,500",상승,"4,000",+1.41%,500,"214,348","61,973","288,000","675,090","5,754",-58.00,500,"174,819","288,000","288,500","603,068",-73.40,500,"293,000","8,342","293,402","3,386",4.03,500,"286,000","25,353","234,000","256,196","-4,974",500,N/A
5,KB금융,"107,900",상승,"7,900",+7.90%,"5,000","2,292,671","241,743","107,900","424,617","80,453",8.49,"5,000","1,481,522","100,700","108,000","7,578,455",26.00,"5,000","107,900","254,011","6,980,304","50,286",75.49,"5,000","100,600","45,973","393,528","850,764","12,705","5,000","3,174"
6,한화에어로스페이스,"845,000",상승,"10,000",+1.20%,"5,000","213,653","178,433","843,000","399,653","17,319",17.09,"5,000","156,208","838,000","845,000","433,369",191.41,"5,000","845,000","4,529","319,726","25,399",45.06,"5,000","811,000","15,616","47,296","112,401","49,447","5,000","3,500"
7,삼성전자우,"47,500",상승,"1,150",+2.48%,100,"1,686,067","79,637","47,450","387,588",N/A,9.20,100,"817,556","47,300","47,500",N/A,N/A,100,"47,500","44,882",N/A,N/A,73.65,100,"46,700","113,552","815,975",N/A,"5,162",100,N/A
8,현대차,"186,000",상승,"2,000",+1.09%,"5,000","577,325","107,020","186,000","380,849","142,396",4.05,"5,000","538,182","185,100","186,100","3,397,984",-5.87,"5,000","186,500","22,904","2,195,225","132,299",35.53,"5,000","184,100","23,412","204,758","1,752,312","45,880","5,000","12,000"
9,HD현대중공업,"428,000",보합,0,0.00%,"5,000","250,762","105,627","428,000","379,949","7,052",43.32,"5,000","313,351","423,000","428,500","193,909",294.77,"5,000","429,500","12,208","136,865","6,215",10.58,"5,000","410,000","15,376","88,773","144,865","9,880","5,000","2,090"
10,셀트리온,"160,500",하락,500,-0.31%,"1,000","468,416","75,387","160,400","356,994","4,920",71.52,"1,000","410,768","161,400","160,500","210,552",-24.48,"1,000","162,500","17,864","34,752","4,189",21.50,"1,000","160,000","18,762","222,426","35,573","2,244","1,000",763
