N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,삼성전자,"60,600",하락,200,-0.33%,100,"1,544,744","93,969",0,"3,587,301","327,260",11.74,"17,340,470","61,200",0,"5,145,319",398.34,9.03,"61,200",0,"1,123,399","344,514",49.74,7.10,"60,400",0,"5,919,638","3,008,709","5,162",1.03,"1,446",16.20
2,SK하이닉스,"287,500",상승,"3,500",+1.23%,"5,000","422,822","121,741",0,"2,093,007","234,673",8.06,"5,134,863","288,500",0,"1,198,552",403.58,31.06,"289,000",0,"459,395","197,969",55.52,17.98,"286,000",0,"728,002","661,930","35,682",2.44,"2,204",102.02
3,삼성바이오로직스,"998,000",상승,"2,000",+0.20%,"2,500","1,623","1,620",0,"710,317","13,201",55.52,"38,057","1,001,000",0,"173,363",18.53,10.45,"1,001,000",0,"64,316","10,833",12.89,6.49,"996,000",0,"71,174","45,473","17,977",6.30,0,23.08
4,LG에너지솔루션,"294,500",상승,"6,500",+2.26%,500,"23,672","6,935",0,"689,130","5,754",-59.21,"219,699","290,000",0,"603,068",-73.40,-4.93,"295,000",0,"293,402","3,386",4.09,0.64,"290,000",0,"234,000","256,196","-4,974",3.26,N/A,-24.08
5,두산에너빌리티,"72,100",상승,"6,300",+9.57%,"5,000","2,502,244","177,403",0,"461,845","10,176",-453.46,"7,601,019","70,400",0,"263,148",-30.65,1.52,"72,100",0,"146,537","3,947",24.43,1.55,"69,700",0,"640,561","162,331",-159,6.07,N/A,-7.71
6,KB금융,"110,100",하락,500,-0.45%,"5,000","95,501","10,571",0,"419,990","80,453",7.64,"1,045,704","111,500",0,"7,578,455",26.00,8.86,"111,600",0,"6,980,304","50,286",78.22,0.68,"109,500",0,"381,462","850,764","14,416",0.69,"3,174",9.77
7,현대차,"205,000",보합,0,0.00%,"5,000","43,794","8,969",0,"419,753","142,396",4.47,"764,378","204,500",0,"3,397,984",-5.87,12.43,"206,000",0,"2,195,225","132,299",36.28,4.25,"204,000",0,"204,758","1,752,312","45,880",0.48,"12,000",7.73
8,한화에어로스페이스,"871,000",하락,"19,000",-2.13%,"5,000","12,511","10,890",0,"411,950","17,319",17.61,"334,673","877,000",0,"433,369",191.41,53.94,"877,000",0,"319,726","25,399",44.71,8.08,"862,000",0,"47,296","112,401","49,447",10.08,"3,500",42.47
9,삼성전자우,"50,300",하락,300,-0.59%,100,"98,719","4,985",0,"410,435",N/A,9.74,"2,037,611","50,700",0,N/A,N/A,N/A,"50,900",0,N/A,N/A,73.91,N/A,"50,200",0,"815,975",N/A,"5,162",0.85,N/A,N/A
10,NAVER,"257,000",하락,500,-0.19%,100,"174,841","44,980",0,"407,183","19,793",22.44,"2,316,733","257,000",0,"381,679",32.94,7.90,"259,500",0,"111,670","19,320",46.20,5.23,"255,500",0,"158,437","107,377","11,452",1.45,"1,130",11.03
11,기아,"97,200",하락,500,-0.51%,"5,000","47,379","4,598",0,"386,538","126,671",4.15,"574,885","96,900",0,"927,559",9.13,19.09,"97,600",0,"369,156","97,750",39.23,11.28,"96,600",0,"397,673","1,074,488","23,440",0.68,"6,500",7.66
12,HD현대중공업,"425,500",상승,"3,500",+0.83%,"5,000","10,887","4,621",0,"377,730","7,052",43.07,"183,253","423,000",0,"193,909",294.77,11.39,"427,000",0,"136,865","6,215",10.91,3.40,"421,500",0,"88,773","144,865","9,880",6.51,"2,090",21.08
13,셀트리온,"159,900",보합,0,0.00%,"1,000","22,218","3,552",0,"355,659","4,920",73.99,"298,661","160,200",0,"210,552",-24.48,2.46,"160,300",0,"34,752","4,189",21.38,2.04,"159,100",0,"222,426","35,573","2,161",2.07,735,63.45
14,신한지주,"60,700",상승,200,+0.33%,"5,000","93,014","5,644",0,"300,976","64,587",6.66,"1,643,936","60,600",0,"7,397,643",5.87,8.11,"61,200",0,"6,809,432","45,582",58.94,0.64,"60,400",0,"495,842","419,028","9,108",0.53,"2,160",6.26
15,삼성물산,"163,400",상승,"4,600",+2.90%,100,"42,506","6,886",0,"277,742","29,834",13.05,"339,200","161,900",0,"619,904",3.95,6.83,"163,800",0,"247,319","27,720",27.01,4.33,"159,100",0,"169,977","421,032","12,523",0.84,"2,600",0.50
16,카카오,"60,700",하락,200,-0.33%,100,"422,936","25,842",0,"268,152","4,602",175.43,"7,751,588","61,200",0,"257,730",-0.14,0.56,"62,000",0,"118,301","-1,619",28.14,-0.64,"60,500",0,"441,767","78,717",346,2.57,68,4.16
17,현대모비스,"288,000",하락,"1,500",-0.52%,"5,000","10,270","2,968",0,"264,370","30,735",6.35,"138,407","291,000",0,"665,969",33.90,9.35,"291,000",0,"204,787","40,602",43.00,6.49,"287,500",0,"91,795","572,370","45,380",0.55,"6,000",-3.41
18,HD한국조선해양,"371,500",상승,"7,500",+2.06%,"5,000","19,187","7,102",0,"262,922","14,341",17.78,"198,330","368,000",0,"367,191",408.07,11.16,"374,500",0,"225,633","14,546",33.09,4.22,"365,000",0,"70,773","255,386","20,895",2.31,"5,100",19.92
19,삼성생명,"128,600",상승,"2,300",+1.82%,500,"16,432","2,109",0,"257,200","24,998",12.13,"438,651","128,500",0,"3,122,188",4.23,6.18,"129,500",0,"2,794,809","22,603",21.93,0.72,"127,200",0,"200,000","337,860","10,600",0.78,"4,500",9.21
20,한화오션,"80,700",상승,"1,300",+1.64%,"5,000","237,024","19,117",0,"247,276","2,379",35.69,"1,769,254","79,400",0,"178,438",221.06,11.52,"81,500",0,"129,805","5,282",12.41,3.32,"79,400",0,"306,413","107,760","2,261",4.86,N/A,45.46
21,한국전력,"38,300",하락,950,-2.42%,"5,000","549,680","21,161",0,"245,872","83,647",4.68,"8,022,808","38,750",0,"2,468,078",284.18,9.22,"39,000",0,"2,054,450","36,220",19.19,1.49,"38,200",0,"641,964","933,989","8,191",0.59,213,5.87
22,하나금융지주,"84,000",하락,200,-0.24%,"5,000","59,544","5,003",0,"239,168","48,552",6.34,"837,186","84,600",0,"6,378,475",3.45,9.11,"84,800",0,"5,942,706","37,685",67.88,0.61,"83,200",0,"284,724","816,143","13,252",0.54,"3,600",17.10
23,SK스퀘어,"180,300",상승,"4,000",+2.27%,100,"48,706","8,721",0,"238,971","39,126",4.86,"945,652","177,700",0,"219,211",267.23,21.70,"180,600",0,"23,356","36,505",51.83,18.30,"176,600",0,"132,541","61,385","37,069",1.16,0,169.41
24,HMM,"22,500",상승,100,+0.45%,"5,000","85,251","1,926",0,"230,634","35,128",4.44,"1,562,326","22,600",0,"338,486",500.72,15.35,"22,700",0,"59,930","37,821",6.96,12.70,"22,500",0,"1,025,039","117,002","5,073",0.71,600,39.27
25,현대로템,"199,900",하락,"1,100",-0.55%,"5,000","70,828","14,039",0,"218,175","4,566",42.86,"1,203,275","199,000",0,"52,854",117.36,21.85,"200,000",0,"32,763","4,053",31.95,7.70,"195,000",0,"109,142","43,766","4,664",9.98,200,22.00
26,POSCO홀딩스,"265,000",상승,"5,000",+1.92%,"5,000","39,078","10,329",0,"214,472","21,736",25.76,"264,091","261,500",0,"1,034,042",-38.45,2.00,"267,000",0,"419,538","9,476",29.44,0.93,"261,500",0,"80,933","726,881","10,286",0.36,"10,000",-5.76
27,삼성화재,"443,500",상승,"8,500",+1.95%,500,"8,556","3,784",0,"204,059","26,496",11.32,"85,938","441,000",0,"872,695",12.40,13.11,"448,000",0,"716,673","20,768",55.92,2.41,"439,000",0,"46,011","226,570","39,171",1.22,"19,000",8.80
28,메리츠금융지주,"112,900",상승,700,+0.62%,500,"14,735","1,652",0,"203,236","31,889",9.24,"236,582","112,200",0,"1,155,782",8.71,23.44,"113,000",0,"1,046,482","23,334",15.99,2.14,"111,300",0,"180,014","465,745","12,216",2.06,"1,350",-20.47
29,HD현대일렉트릭,"491,000",상승,"3,500",+0.72%,"5,000","15,326","7,574",0,"176,991","6,690",31.51,"216,245","496,000",0,"37,955",112.23,39.34,"498,500",0,"22,880","4,984",34.71,14.87,"490,500",0,"36,047","33,223","15,581",11.75,"5,350",22.92
30,크래프톤,"358,500",상승,"1,000",+0.28%,100,"8,359","3,000",0,"169,896","11,825",12.95,"77,468","359,500",0,"79,195",53.96,21.10,"362,500",0,"10,903","13,026",43.11,18.14,"354,500",0,"47,391","27,098","27,686",2.26,0,41.83
31,SK이노베이션,"111,200",상승,"13,400",+13.70%,"5,000","442,426","48,548",0,"167,951","3,155",-5.50,"239,336","107,100",0,"1,105,301",-83.43,-9.65,"112,300",0,"708,812","-23,725",13.74,-2.48,"107,000",0,"151,035","747,170","-20,236",0.69,"2,000",-3.33
32,우리금융지주,"22,250",하락,250,-1.11%,"5,000","161,931","3,577",0,"165,227","42,552",5.74,"2,278,918","22,250",0,"5,257,533",21.61,9.39,"22,250",0,"4,898,581","31,715",46.83,0.62,"21,950",0,"742,592","466,167","3,877",0.49,"1,200",11.03
33,고려아연,"822,000",하락,"22,000",-2.61%,"5,000","2,771","2,277",0,"164,591","7,235",69.08,"81,564","835,000",0,"147,923",9.63,2.28,"844,000",0,"71,969","1,948",12.37,1.45,"806,000",0,"20,023","120,529","11,900",2.02,"17,500",24.20
34,KT&G,"124,500",상승,"1,200",+0.97%,"5,000","18,401","2,295",0,"151,968","11,888",14.02,"338,115","124,600",0,"139,252",1.84,12.66,"125,400",0,"45,668","11,650",43.77,8.73,"123,700",0,"122,062","59,088","8,881",1.48,"5,400",0.79
35,LG화학,"213,000",상승,"4,000",+1.91%,"5,000","21,339","4,544",0,"150,362","9,168",-17.83,"227,948","211,000",0,"938,578",-63.75,-2.11,"214,500",0,"458,623","5,150",30.56,0.60,"211,000",0,"70,592","489,161","-11,946",0.50,"1,000",-11.46
36,카카오뱅크,"30,550",하락,900,-2.86%,"5,000","475,030","14,876",0,"145,720","6,069",31.24,"2,022,611","31,900",0,"628,053",26.83,6.95,"32,250",0,"562,652","4,401",16.97,0.75,"30,550",0,"476,989","29,456",978,2.24,360,18.11
37,삼성중공업,"16,490",상승,330,+2.04%,"1,000","569,166","9,364",0,"145,112","5,027",99.34,"3,841,073","16,250",0,"171,946",115.43,1.77,"16,590",0,"134,452",539,31.61,0.33,"16,250",0,"880,000","99,031",166,3.65,N/A,23.64
38,기업은행,"18,080",하락,220,-1.20%,"5,000","105,978","1,910",0,"144,175","35,941",5.40,"942,054","18,190",0,"4,722,198",4.71,8.06,"18,200",0,"4,379,887","26,543",14.18,0.58,"17,850",0,"797,426","324,300","3,351",0.42,"1,065",13.30
39,SK,"197,600",보합,0,0.00%,200,"27,805","5,510",0,"143,265","23,553",16.09,"248,595","198,800",0,"2,149,778",-50.46,-5.64,"199,600",0,"1,346,902","5,288",23.86,0.25,"197,100",0,"72,503","1,246,904","12,281",0.40,"7,000",-3.19
40,KT,"55,800",상승,"1,400",+2.57%,"5,000","64,948","3,633",0,"140,628","8,095",22.22,"975,631","55,500",0,"418,800",-50.93,2.85,"56,400",0,"238,834","4,171",49.00,0.99,"55,300",0,"252,022","264,312","2,511",0.82,"2,000",0.21
41,삼성SDI,"173,500",상승,"3,800",+2.24%,"5,000","53,627","9,260",0,"139,816","3,633",118.75,"478,562","171,000",0,"405,973",-76.49,3.13,"173,600",0,"190,301","5,755",27.78,1.54,"171,000",0,"80,586","165,922","1,461",0.61,973,-22.60
42,삼성에스디에스,"172,500",하락,800,-0.46%,500,"20,779","3,576",0,"133,477","9,111",17.62,"267,429","171,100",0,"132,383",12.73,8.42,"173,800",0,"35,329","7,895",18.81,6.18,"171,000",0,"77,378","138,282","9,791",1.43,"2,900",4.15
43,하이브,"306,000",상승,500,+0.16%,500,"8,452","2,586",0,"127,455","1,840",243.63,"172,862","305,500",0,"54,792",-37.75,0.31,"307,500",0,"19,654",-34,19.23,-0.06,"302,500",0,"41,652","22,556","1,256",3.87,200,3.56
44,LG,"80,500",상승,800,+1.00%,"5,000","14,099","1,136",0,"126,587","9,668",15.93,"246,687","80,400",0,"316,393",-39.16,2.16,"81,300",0,"35,066","7,905",34.69,2.55,"80,200",0,"157,251","71,755","5,053",0.45,"3,100",-3.62
45,미래에셋증권,"21,650",상승,300,+1.41%,"5,000","395,140","8,616",0,"123,474","11,881",15.87,"4,032,115","21,750",0,"1,371,770",128.02,7.94,"22,200",0,"1,249,133","9,255",12.29,0.69,"21,500",0,"570,316","222,342","1,364",1.04,250,9.22
