N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
1,알테오젠,"368,500",하락,"12,500",-3.28%,500,"383,638","142,584","368,000","197,018",254,157.68,500,"783,527","376,000","368,500","4,090",360.91,500,"381,000","14,354","1,349",607,14.82,500,"365,000","16,263","53,465","1,029","2,337",500,0
2,에코프로비엠,"96,200",상승,"4,500",+4.91%,500,"434,236","41,512","96,100","94,085",-341,-101.37,500,"445,175","91,900","96,200","43,237",-121.86,500,"97,900","5,076","23,466",-585,11.44,500,"90,600","14,888","97,801","27,668",-949,500,N/A
3,HLB,"52,300",상승,900,+1.75%,500,"341,679","17,838","52,200","68,735","-1,185",-36.40,500,"635,815","51,700","52,300","8,874",5.21,500,"52,900","27,976","2,353","-1,080",20.59,500,"51,600","40,697","131,425",681,"-1,437",500,0
4,에코프로,"45,350",상승,"1,650",+3.78%,100,"908,761","40,849","45,300","61,574","-2,930",-35.10,100,"1,327,121","43,800","45,350","81,383",-198.28,100,"45,750","13,780","42,998","-2,954",20.90,100,"43,050","44,220","135,776","31,279","-1,292",100,100
5,레인보우로보틱스,"287,500",상승,"1,500",+0.52%,500,"123,412","35,202","287,000","55,775",-30,"7,012.20",500,"283,708","284,500","287,500","1,399",93.32,500,"289,500","6,007",71,21,7.98,500,"278,500","11,627","19,400",193,41,500,N/A
6,파마리서치,"479,000",하락,"1,000",-0.21%,500,"58,050","27,861","478,500","50,341","1,261",47.61,500,"93,024","483,500","479,000","8,557",36.63,500,"491,500",668,"2,863",889,17.59,500,"471,000",837,"10,510","3,501","10,061",500,"1,100"
7,휴젤,"327,000",하락,"7,000",-2.10%,500,"81,912","26,856","327,000","40,234","1,662",28.39,500,"60,281","333,000","327,500","9,394",41.13,500,"336,500","2,925",986,"1,431",54.47,500,"323,500","4,008","12,304","3,730","11,517",500,0
8,리가켐바이오,"107,400",하락,"4,200",-3.76%,500,"384,397","42,294","107,300","39,320",-209,157.94,500,"380,828","111,500","107,400","7,384",74.12,500,"113,200","9,136","1,224",78,10.82,500,"106,900","4,380","36,610","1,259",680,500,N/A
9,클래시스,"58,500",하락,500,-0.85%,100,"207,212","12,154","58,400","38,321","1,224",37.28,100,"259,736","59,200","58,500","6,084",36.62,100,"59,400","15,694","1,557",975,72.29,100,"58,200","9,565","65,506","2,429","1,569",100,257
10,에이비엘바이오,"75,800",하락,600,-0.79%,500,"826,981","63,467","75,700","36,784",-594,-55.29,500,"1,223,510","75,900","75,800","2,320","-2,168.82",500,"78,900","22,236",647,-555,14.50,500,"75,100","22,028","48,528",334,"-1,371",500,N/A
11,펩트론,"157,300",하락,"3,700",-2.30%,500,"2,209,750","361,191","157,200","36,647",-165,-159.37,500,"1,402,421","154,100","157,300","1,689",-4.05,500,"176,900","9,541",172,-220,7.38,500,"151,000","3,477","23,297",32,-987,500,N/A
12,리노공업,"47,150",상승,"3,550",+8.14%,100,"1,080,693","50,616","47,150","35,934","1,242",29.45,100,"1,013,920","44,650","47,200","6,574",8.59,100,"47,800","11,853",348,"1,133",35.19,100,"44,500","12,069","76,212","2,782","1,601",100,600
13,삼천당제약,"152,100",상승,"6,900",+4.75%,500,"457,129","71,957","152,100","35,679",26,-307.89,500,"112,248","157,800","152,200","5,198",-72.36,500,"163,000","2,187","1,704",-51,3.01,500,"150,300","1,923","23,457","2,109",-494,500,200
14,코오롱티슈진,"38,950",하락,750,-1.89%,0,"274,234","10,962","38,950","31,784",-220,-85.79,0,"254,501","39,650","39,000","2,223",-7.28,0,"41,700","13,718",764,-338,3.52,0,"38,800","2,762","81,601",51,-454,0,0
15,실리콘투,"51,300",하락,500,-0.97%,500,"1,083,973","55,535","51,200","31,381","1,376",23.35,500,"1,008,976","53,300","51,300","4,578",187.76,500,"53,400","26,013","1,962","1,207",6.44,500,"50,100","28,458","61,172","6,915","2,197",500,N/A
16,에스엠,"134,400",상승,"6,300",+4.92%,500,"262,324","34,866","134,300","30,770",873,12.35,500,"187,778","129,100","134,400","14,191",-23.06,500,"136,200","1,756","5,900",8,24.59,500,"129,100","5,182","22,895","9,897","10,881",500,400
17,JYP Ent.,"77,700",상승,900,+1.17%,500,"287,699","22,304","77,600","27,609","1,283",20.39,500,"397,084","77,000","77,700","6,788",-24.30,500,"78,100","22,904","1,959",977,22.10,500,"76,900","28,829","35,532","6,018","3,811",500,534
18,펄어비스,"38,050",하락,450,-1.17%,100,"305,230","11,646","38,000","24,446",-123,50.87,100,"153,618","38,400","38,050","11,428",24.82,100,"39,450","13,562","3,368",603,7.40,100,"37,400","3,944","64,248","3,424",748,100,N/A
