N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,알테오젠,"399,000",상승,"1,500",+0.38%,500,"38,329","15,100","388,000","213,325",254,170.73,"281,659","392,000","393,000","4,090",360.91,29.52,"399,500",483,"1,349",607,15.01,18.25,"389,500",521,"53,465","1,029","2,337",58.21,0,6.56
2,에코프로비엠,"90,300",상승,800,+0.89%,500,"66,191","6,005","89,100","88,315",-341,-95.15,"346,708","89,400","89,300","43,237",-121.86,-6.26,"92,100",523,"23,466",-585,11.64,-1.35,"89,400",257,"97,801","27,668",-949,5.21,N/A,-59.91
3,HLB,"50,100",하락,800,-1.57%,500,"86,706","4,353","50,700","65,844","-1,185",-34.86,"460,047","50,400","50,800","8,874",5.21,-16.33,"50,600",765,"2,353","-1,080",20.85,-13.22,"50,000","2,141","131,425",681,"-1,437",12.79,0,58.80
4,에코프로,"42,000",상승,450,+1.08%,100,"114,709","4,841","41,900","57,026","-2,930",-32.51,"560,646","41,700","42,300","81,383",-198.28,-12.57,"42,750",108,"42,998","-2,954",20.97,-3.76,"41,700","5,401","135,776","31,279","-1,292",3.59,100,-56.92
5,레인보우로보틱스,"270,000",하락,500,-0.18%,500,"7,953","2,147","272,000","52,380",-30,"6,585.37","156,113","272,000","272,500","1,399",93.32,1.62,"272,000",399,71,21,7.37,1.57,"268,750",99,"19,400",193,41,39.69,N/A,26.80
6,파마리서치,"434,500",상승,"14,500",+3.45%,500,"41,824","17,965","421,000","45,664","1,261",43.19,"308,638","421,000","423,000","8,557",36.63,18.93,"435,000",821,"2,863",889,17.34,12.79,"421,000",90,"10,510","3,501","10,061",8.90,"1,100",34.14
7,휴젤,"371,000",상승,"11,500",+3.20%,500,"6,640","2,416","353,500","45,648","1,662",32.21,"56,306","353,500","355,000","9,394",41.13,17.51,"371,500",354,986,"1,431",55.33,15.32,"353,000",5,"12,304","3,730","11,517",4.76,0,16.69
8,펩트론,"188,200",하락,"1,000",-0.53%,500,"16,060","3,011","187,600","43,846",-165,-190.68,"217,343","187,000","187,700","1,689",-4.05,-23.46,"189,900",25,172,-220,5.96,-19.91,"185,500",107,"23,297",32,-987,29.45,N/A,-5.68
9,리가켐바이오,"110,200",하락,"1,000",-0.90%,500,"17,561","1,929","110,900","40,345",-209,162.06,"235,328","110,100","111,000","7,384",74.12,2.04,"110,700","1,429","1,224",78,11.01,1.68,"109,200",159,"36,610","1,259",680,6.85,N/A,268.71
10,클래시스,"61,300",상승,600,+0.99%,100,"18,904","1,148","60,900","40,155","1,224",39.07,"292,748","60,300","61,000","6,084",36.62,26.54,"61,500",467,"1,557",975,72.12,19.83,"60,100",251,"65,506","2,429","1,569",8.58,257,34.87
