종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,41250,24.03,8530,20.68,93.69,43.59,7.40,2.25,800,4500,800,1550
레드캡투어,11900,25.03,2150,18.07,177.53,9.64,7.26,0.67,450,450,450,400
이지스밸류플러스리츠,4690,25.06,785,16.74,0,0,0,0,412,412,351,293
신한글로벌액티브리츠,1550,25.02,253,16.32,0115.10,05.52,014.91,0.65,24,10,24,0
NH프라임리츠,4470,24.11,658,14.72,137.10,6.38,11.26,0.72,531,531,225,248
제이알글로벌리츠,2775,24.12,390,14.05,186.25,2.48,26.31,0.67,385,385,373,366
크레버스,14270,25.04,1500,10.51,167.06,17.99,21.71,3.06,2000,2000,1800,2000
미래에셋맵스리츠,2710,24.11,284,10.48,215.00,1.60,42.27,0.64,284,284,279,268
HB인베스트먼트,1965,24.12,200,10.18,89.81,8.28,6.99,0.49,0,0,0,0
이크레더블,15660,24.12,1590,10.15,148.28,27.34,12.07,3.18,780,780,1040,2720
코람코라이프인프라리츠,4415,24.11,416,9.43,164.56,4.96,16.20,0.83,475,366,350,475
NH올원리츠,3675,24.12,340,9.25,0830.66,00.56,0135.96,0.80,316,288,316,106
정다운,2705,24.12,250,9.24,68.61,9.33,7.31,0.65,300,300,100,100
미래에셋글로벌리츠,2730,24.09,252,9.23,0661.23,00.51,0147.29,0.73,288,288,180,0
KB스타리츠,4000,25.01,368,9.20,96.26,4.54,17.19,0.85,376,376,165,0
한국철강,8950,24.12,800,8.94,112.95,2.82,15.14,0.28,400,400,300,250
마스턴프리미어리츠,1466,24.09,127,8.68,79.60,1.26,40.75,0.55,299,299,109,0
정상제이엘에스,6110,24.12,530,8.67,94.60,9.05,12.55,1.08,530,530,530,530
현대해상,23950,24.03,2063,8.61,28.16,7.38,4.82,0.40,1965,1965,1480,1000
현대차2우B,146600,25.02,12100,8.25,25.13,12.43,4.60,0.51,7100,11500,7100,5100
현대차3우B,146400,25.02,12050,8.23,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차우,146500,25.02,12050,8.23,25.13,12.43,4.60,0.51,7050,11450,7050,5050
서울보증보험,35000,25.04,2865,8.19,93.87,4.12,0,0.00,4048,2983,4048,3282
오상자이엘,3725,24.12,300,8.05,89.07,6.36,10.03,0.61,0,0,0,0
노바텍,17680,24.12,1409,7.97,80.44,10.80,8.95,0.87,500,500,200,143
디앤디플랫폼리츠,3285,25.03,260,7.93,0,0,0,0,290,270,290,224
동국씨엠,6320,25.03,500,7.91,23.40,6.45,2.79,0.17,100,100,0,0
도이치모터스,4810,24.12,380,7.90,0224.96,01.22,028.41,0.33,370,370,360,350
영보화학,4440,24.12,350,7.88,30.26,13.01,3.16,0.38,50,50,50,100
광주신세계,28150,25.03,2200,7.82,36.34,5.58,4.97,0.26,2200,2200,2200,1700
이리츠코크렙,4640,24.12,362,7.80,221.83,2.19,51.71,1.16,405,404,405,383
와이솔,6440,25.03,500,7.76,125.30,3.12,12.99,0.39,250,250,250,250
INVENI,51800,25.02,4000,7.72,58.92,6.16,10.41,0.45,8750,8750,2500,2250
KISCO홀딩스,23450,24.12,1800,7.68,70.13,2.82,9.94,0.21,900,900,600,400
조선내화,13030,24.12,1000,7.68,203.40,2.68,31.46,0.83,0,0,0,0
CR홀딩스,5350,24.12,410,7.66,0671.46,00.39,0114.31,0.39,450,410,450,450
HS애드,7200,25.03,550,7.64,39.29,11.77,4.63,0.51,450,450,400,350
트윔,7910,24.09,600,7.59,122.17,2.48,31.66,0.74,0,0,0,0
HRS,5300,24.12,400,7.55,42.31,12.74,5.01,0.60,200,200,200,200
유안타증권우,3315,25.03,250,7.54,57.14,4.52,7.65,0.33,230,230,160,230
케이카,15360,24.12,1150,7.49,126.03,19.09,14.04,2.73,760,760,760,750
메가스터디,10720,24.12,800,7.46,56.66,5.12,7.91,0.38,850,850,1050,600
아이마켓코리아,8090,24.12,600,7.42,70.04,7.66,9.92,0.70,600,600,600,600
스카이라이프,4720,24.12,350,7.41,012.18,021.72,01.65,0.41,350,350,350,350
기아,88400,25.03,6500,7.35,26.18,19.09,4.12,0.71,5600,5600,3500,3000
코리아에셋투자증권,6800,24.07,500,7.35,55.00,6.40,5.75,0.36,700,200,700,450
유아이엘,3685,24.12,270,7.33,28.64,16.63,3.77,0.56,0,0,0,0
푸른저축은행,8870,24.12,650,7.33,96.74,2.50,16.25,0.32,650,650,650,650
SK네트웍스,4095,25.04,300,7.33,121.68,2.29,19.43,0.39,200,200,120,120
케이탑리츠,929,24.12,68,7.32,62.35,5.07,8.86,0.44,95,95,108,38
한샘,41250,24.03,8530,20.68,93.69,43.59,7.40,2.25,800,4500,800,1550
레드캡투어,11900,25.03,2150,18.07,177.53,9.64,7.26,0.67,450,450,450,400
이지스밸류플러스리츠,4690,25.06,785,16.74,0,0,0,0,412,412,351,293
신한글로벌액티브리츠,1550,25.02,253,16.32,0115.10,05.52,014.91,0.65,24,10,24,0
NH프라임리츠,4470,24.11,658,14.72,137.10,6.38,11.26,0.72,531,531,225,248
제이알글로벌리츠,2775,24.12,390,14.05,186.25,2.48,26.31,0.67,385,385,373,366
크레버스,14270,25.04,1500,10.51,167.06,17.99,21.71,3.06,2000,2000,1800,2000
미래에셋맵스리츠,2710,24.11,284,10.48,215.00,1.60,42.27,0.64,284,284,279,268
HB인베스트먼트,1965,24.12,200,10.18,89.81,8.28,6.99,0.49,0,0,0,0
이크레더블,15660,24.12,1590,10.15,148.28,27.34,12.07,3.18,780,780,1040,2720
코람코라이프인프라리츠,4415,24.11,416,9.43,164.56,4.96,16.20,0.83,475,366,350,475
NH올원리츠,3675,24.12,340,9.25,0830.66,00.56,0135.96,0.80,316,288,316,106
정다운,2705,24.12,250,9.24,68.61,9.33,7.31,0.65,300,300,100,100
미래에셋글로벌리츠,2730,24.09,252,9.23,0661.23,00.51,0147.29,0.73,288,288,180,0
KB스타리츠,4000,25.01,368,9.20,96.26,4.54,17.19,0.85,376,376,165,0
한국철강,8950,24.12,800,8.94,112.95,2.82,15.14,0.28,400,400,300,250
마스턴프리미어리츠,1466,24.09,127,8.68,79.60,1.26,40.75,0.55,299,299,109,0
정상제이엘에스,6110,24.12,530,8.67,94.60,9.05,12.55,1.08,530,530,530,530
