	token	경주빈도	전주빈도	빈도합	전주비율	경주비율
0	추천	765	710	1475	48.14%	51.86%
1	숙소	609	555	1164	47.68%	52.32%
2	코스	312	326	638	51.10%	48.90%
3	맛집	95	282	377	74.80%	25.20%
4	여수	0	349	349	100.00%	0.00%
5	주달	0	304	304	100.00%	0.00%
6	계획	146	61	207	29.47%	70.53%
7	한옥마을	0	178	178	100.00%	0.00%
8	티비	0	177	177	100.00%	0.00%
9	국내	5	167	172	97.09%	2.91%
10	일정	96	70	166	42.17%	57.83%
11	답변	106	55	161	34.16%	65.84%
12	제주	5	152	157	96.82%	3.18%
13	전문	10	127	137	92.70%	7.30%
14	언서	0	127	127	100.00%	0.00%
15	봉이	0	127	127	100.00%	0.00%
16	제주도	0	127	127	100.00%	0.00%
17	질문	80	45	125	36.00%	64.00%
18	부탁	70	55	125	44.00%	56.00%
19	안녕	57	58	115	50.43%	49.57%
20	친구	44	64	108	59.26%	40.74%
21	마을	0	107	107	100.00%	0.00%
22	한옥	5	102	107	95.33%	4.67%
23	참고	56	45	101	44.55%	55.45%
24	가족	85	15	100	15.00%	85.00%
25	황리	90	0	90	0.00%	100.00%
26	관련	66	20	86	23.26%	76.74%
27	정도	54	30	84	35.71%	64.29%
28	택시	50	30	80	37.50%	62.50%
29	이번	30	50	80	62.50%	37.50%
30	공원	15	55	70	78.57%	21.43%
31	예정	40	30	70	42.86%	57.14%
32	준비	45	20	65	30.77%	69.23%
33	버스	23	40	63	63.49%	36.51%
34	시간	23	39	62	62.90%	37.10%
35	근처	30	31	61	50.82%	49.18%
36	터미널	25	30	55	54.55%	45.45%
37	이용	20	35	55	63.64%	36.36%
38	장소	25	28	53	52.83%	47.17%
39	아래	32	20	52	38.46%	61.54%
40	덕진	0	50	50	100.00%	0.00%
41	문화	30	20	50	40.00%	60.00%
42	관광지	25	25	50	50.00%	50.00%
43	엄마	45	5	50	10.00%	90.00%
44	가능	24	25	49	51.02%	48.98%
45	추억	25	22	47	46.81%	53.19%
46	방문	36	10	46	21.74%	78.26%
47	당일치기	15	30	45	66.67%	33.33%
48	도움	20	25	45	55.56%	44.44%
49	역사	40	5	45	11.11%	88.89%
50	아이	35	10	45	22.22%	77.78%
51	시작	15	30	45	66.67%	33.33%
52	이동	14	30	44	68.18%	31.82%
53	날씨	42	0	42	0.00%	100.00%
54	사람	10	32	42	76.19%	23.81%
55	당일	21	20	41	48.78%	51.22%
56	관광	10	30	40	75.00%	25.00%
57	월지	39	0	39	0.00%	100.00%
58	동물원	0	38	38	100.00%	0.00%
59	첨성대	37	0	37	0.00%	100.00%
60	아빠	31	5	36	13.89%	86.11%
61	불국사	36	0	36	0.00%	100.00%
62	투어	25	11	36	30.56%	69.44%
63	주말	15	20	35	57.14%	42.86%
64	남자	10	25	35	71.43%	28.57%
65	여자	25	10	35	28.57%	71.43%
66	시장	5	30	35	85.71%	14.29%
67	도착	25	10	35	28.57%	71.43%
68	식당	30	5	35	14.29%	85.71%
69	운전	35	0	35	0.00%	100.00%
70	동궁	34	0	34	0.00%	100.00%
71	체험	10	24	34	70.59%	29.41%
72	대중교통	15	19	34	55.88%	44.12%
73	펜션	23	10	33	30.30%	69.70%
74	감사	0	33	33	100.00%	0.00%
75	카페	20	12	32	37.50%	62.50%
76	가격	10	22	32	68.75%	31.25%
77	어머니	26	5	31	16.13%	83.87%
78	박물관	15	16	31	51.61%	48.39%
79	렌트	10	20	30	66.67%	33.33%
80	수목원	0	30	30	100.00%	0.00%
81	거리	10	20	30	66.67%	33.33%
82	정보	10	20	30	66.67%	33.33%
83	플레이스	30	0	30	0.00%	100.00%
84	갈만	10	19	29	65.52%	34.48%
85	호텔	7	22	29	75.86%	24.14%
86	생각	16	10	26	38.46%	61.54%
87	소개	26	0	26	0.00%	100.00%
88	서울	11	15	26	57.69%	42.31%
89	국립	15	10	25	40.00%	60.00%
90	처음	15	10	25	40.00%	60.00%
91	첨부	20	5	25	20.00%	80.00%
92	남부	0	25	25	100.00%	0.00%
93	전라도	0	25	25	100.00%	0.00%
94	도시	20	5	25	20.00%	80.00%
95	도보	20	5	25	20.00%	80.00%
96	부모	10	15	25	60.00%	40.00%
97	명소	15	10	25	40.00%	60.00%
98	아들	25	0	25	0.00%	100.00%
99	포함	10	15	25	60.00%	40.00%
100	기차	5	20	25	80.00%	20.00%
101	위주	14	10	24	41.67%	58.33%
102	비용	0	24	24	100.00%	0.00%
103	특별	23	0	23	0.00%	100.00%
104	야경	18	5	23	21.74%	78.26%
105	얼마	5	17	22	77.27%	22.73%
106	확인	16	5	21	23.81%	76.19%
107	석굴암	21	0	21	0.00%	100.00%
108	동선	20	0	20	0.00%	100.00%
109	대부분	5	15	20	75.00%	25.00%
110	교통편	20	0	20	0.00%	100.00%
111	요소	5	15	20	75.00%	25.00%
112	한국	10	10	20	50.00%	50.00%
113	동반	10	10	20	50.00%	50.00%
114	반려	10	10	20	50.00%	50.00%
115	포항	10	10	20	50.00%	50.00%
116	루트	20	0	20	0.00%	100.00%
117	다음	10	10	20	50.00%	50.00%
118	시내	20	0	20	0.00%	100.00%
119	실패	20	0	20	0.00%	100.00%
120	한복	5	15	20	75.00%	25.00%
121	동안	20	0	20	0.00%	100.00%
122	지도	20	0	20	0.00%	100.00%
123	월드	20	0	20	0.00%	100.00%
124	평일	15	5	20	25.00%	75.00%
125	고등학생	15	5	20	25.00%	75.00%
126	볼거리	15	5	20	25.00%	75.00%
127	산책	0	20	20	100.00%	0.00%
128	경험	15	5	20	25.00%	75.00%
129	완산구	0	20	20	100.00%	0.00%
130	학년	15	5	20	25.00%	75.00%
131	채택	15	5	20	25.00%	75.00%
132	향교	0	20	20	100.00%	0.00%
133	하루	20	0	20	0.00%	100.00%
134	마음	18	0	18	0.00%	100.00%
