그룹번호,키워드1,키워드2,키워드3,키워드4,키워드5
1,제육볶음,매운제육볶음,두부제육볶음,된장찌개,김치찌개
2,청국장찌개,콩나물무침,시금치나물,도라지무침,계란말이
3,계란찜,스크램블에그,미역국,무국,콩나물국
4,부대찌개,햄부대찌개,치즈부대찌개,감자탕,뼈해장국
5,등뼈찜,순두부찌개,해물순두부찌개,버섯순두부찌개,설렁탕
6,곰탕,갈비탕,삼계탕,육개장,닭개장
7,콩나물해장국,냉채족발,불족발,마늘족발,마늘보쌈
8,굴보쌈,회보쌈,편육,수육,막국수
9,냉면,,전복죽,전복버터구이,소고기야채죽
10,닭죽,삼계죽,단호박죽,녹두죽,팥죽
11,제육도시락,불고기도시락,생선구이도시락,국물떡볶이,로제떡볶이
12,치즈떡볶이,참치김밥,불고기김밥,야채김밥,오징어튀김
13,야채튀김,만두,잔치국수,멸치국수,온면
14,삼겹살,목살,항정살,LA갈비,돼지갈비
15,생갈비,불고기,닭불고기,오징어불고기,닭갈비
16,닭발,찜닭,고등어구이,갈치구이,삼치구이
17,조기구이,아귀찜,대게찜,킹크랩,생선회
18,물회,회덮밥,조개구이,키조개,가리비
19,파전,김치전,해물전,골뱅이무침,오징어무침
20,멍게무침,곱창,막창,순대,마른오징어
21,육포,땅콩,신라면,너구리,짜파게티
22,컵라면,용기면,생라면,쫄면,냉라면
23,라멘,우동,소바,짜장면,삼선짜장
24,유니짜장,짬뽕,삼선짬뽕,고추짬뽕,볶음짬뽕
25,간짜장,유니볶음면,냉짬뽕,비빔냉면,물냉면
26,새우볶음밥,계란볶음밥,차돌볶음밥,잡채밥,마파두부밥
27,유산슬밥,해물볶음밥,오징어볶음밥,산라탕,계란탕
28,옥수수탕,어향탕,해물탕,완자탕,탕수육
29,새콤달콤탕수육,깐풍기,라조기,깐쇼새우,마요새우
30,칠리새우,유린기,깐풍새우,깐풍오징어,마라탕
31,마라샹궈,훠궈,탄탄면,마라면,사천면
32,마라룽샤,마라두부,마라닭발,군만두,물만두
33,왕만두,샤오롱바오,하가우,슈마이,짬짜면
34,탕짜면,우짬탕,볶음밥+탕수육,덮밥세트,연어초밥
35,참치초밥,장어초밥,참치사시미,연어사시미,모둠사시미
36,연어덮밥,장어덮밥,김밥롤,캘리포니아롤,필라델피아롤
37,돈코츠라멘,차슈라멘,미소라멘,쇼유라멘,시오라멘
38,맑은라멘,매운라멘,마제소바,매운미소,츠케멘
39,아부라소바,탄탄멘,가츠동,규동,오야코동
40,텐동,가케우동,텐푸라우동,카레우동,자루소바
41,온소바,메밀소바,돈까스,치킨가츠,생선까스
42,새우텐푸라,야채텐푸라,모둠텐푸라,가라아게,치킨가라아게
43,닭튀김,야키니쿠,구이고기,샤브샤브,스키야키
44,나베,오코노미야키,야키소바,타코야키,까르보나라
45,알리오올리오,아라비아따,마르게리타,하와이안,해물리조또
46,버섯리조또,치즈리조또,라자냐,베이크드파스타,그라탱
47,립아이,등심,안심,스테이크와감자,스테이크와샐러드
48,크로크무슈,크로크마담,양파수프,크림수프,와퍼
49,치즈버거,베이컨버거,클램차우더,치킨수프,바비큐립
50,풀드포크,브리스킷,타코,부리또,나초
51,케사디아,엔칠라다,파히타,감자튀김,소시지
52,피쉬앤칩스,생선튀김,에그베네딕트,스크램블,오믈렛
53,팬케이크,프렌치토스트,시저샐러드,코브샐러드,양꼬치
54,꼬치구이,바베큐,딤섬,찜 요리,쌀국수
55,분보,분짜,월남쌈,고이쿤,반미
56,바게트,팟타이,태국볶음면,그린커리,레드커리
57,팬낭커리,똠얌꿍,똠얌갈비,새콤매운국물,치킨커리
58,양고기커리,달커리,난,파라타,탄두리치킨
59,케밥,구이,나시고렝,미고렝,사테
60,락사,렌당,후라이드치킨,바삭치킨,달콤양념
61,매운양념,간장치킨,마늘치킨,허니머스타드치킨,뿌링클치킨
62,치즈가루치킨,어니언치킨,순살치킨,팝콘치킨,치킨텐더
63,치킨윙,치킨다리,치킨가슴살,마르게리타치킨,콤비네이션치킨
64,고구마피자,포테이토피자,화이트피자,불고기피자,갈비피자
65,한국식피자,시카고피자,딥디쉬치킨,두꺼운피자,씬크러스트치킨
66,얇은피자,크리스피치킨,아메리카노,에스프레소,롱블랙커피
67,카페라떼,카푸치노,마끼아또,바닐라라떼,카라멜마끼아또
68,헤이즐넛,얼그레이,허브티,녹차라떼,카페프라페
69,초콜릿프라페,딸기프라페,레몬에이드,자몽에이드,탄산음료
70,치즈케이크,초콜릿케이크,생크림케이크,크루아상,베이글
71,머핀,팥빙수,망고빙수,인절미빙수,마카롱
72,쿠키,마라파스타,불닭파스타,김치파스타,김치볶음밥
73,한식덮밥,스시버거,라멘버거,돈까스버거,일식파스타
74,우동파스타,한식뷔페,무한리필,샐러드바,샐러드뷔페
75,호텔뷔페,브런치뷔페,비건버거,두부스테이크,템페
76,비건케이크,두유아이스크림,닭가슴살샐러드,퀴노아볼,프로틴볼
77,그릭요거트,,,,
