keyword,target_period,period_query,title,image_url,thumbnail_url,popularity_score,search_method,collected_at,search_volume
갈비,2025-06,2025.06,"food, 음식, 고기, 맛있는, 돼지갈비, 사진,이미지,일러스트,캘리그라피 - ysk1202작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_31EBEDDAD0AA6408B7BC1DAB6FF10657.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_31EBEDDAD0AA6408B7BC1DAB6FF10657.jpg,58,image_sim,2025-07-14T20:38:53.807202,11420886
라면,2024-06,2024년 6월,"해물라면, 해물요리, 해물음식, 음식, food, 사진,이미지,일러스트,캘리그라피 - 이이지작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_A43C1759439ADCC1E4EA29C0ADE0BCF5.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_A43C1759439ADCC1E4EA29C0ADE0BCF5.jpg,56,image_sim,2025-07-14T20:38:36.305940,20473562
라면,2024-06,2024년 6월,"요리, food, 음식, 라면, 라멘, 사진,이미지,일러스트,캘리그라피 - taberudake작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_D3E08CDC453DC5121D2888EE86681FA5.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_D3E08CDC453DC5121D2888EE86681FA5.jpg,56,image_sim,2025-07-14T20:38:36.305940,20473562
라면,2025-06,2025.06,"해물라면, 해물요리, 해물음식, 음식, food, 사진,이미지,일러스트,캘리그라피 - 이이지작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_A43C1759439ADCC1E4EA29C0ADE0BCF5.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_A43C1759439ADCC1E4EA29C0ADE0BCF5.jpg,56,image_sim,2025-07-14T20:38:41.113411,20473562
라면,2025-06,2025.06,"요리, food, 음식, 라면, 라멘, 사진,이미지,일러스트,캘리그라피 - taberudake작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_D3E08CDC453DC5121D2888EE86681FA5.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_D3E08CDC453DC5121D2888EE86681FA5.jpg,56,image_sim,2025-07-14T20:38:41.113411,20473562
피자,2024-06,2024.06,"음식, 피자, pizza, food, 요리, 사진,이미지,일러스트,캘리그라피 - 쏭쏭이의먹방일기작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_33AB0E45B9E7A2E9C461AB4907A92C3C.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_33AB0E45B9E7A2E9C461AB4907A92C3C.jpg,56,image_sim,2025-07-14T20:38:44.366872,15782041
피자,2024-06,2024.06,"food, 음식, pizza, 피자, 요리, 사진,이미지,일러스트,캘리그라피 - 쏭이지오작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_A85B40B069BEA764F387AC4DBB3A03B4.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_A85B40B069BEA764F387AC4DBB3A03B4.jpg,56,image_sim,2025-07-14T20:38:44.366872,15782041
피자,2024-06,2024.06,"pizza, 피자, food, 음식, 요리, 사진,이미지,일러스트,캘리그라피 - 윜닠작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_32ADAD0E9C1F650AC81B1F8CB8ED065B.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_32ADAD0E9C1F650AC81B1F8CB8ED065B.jpg,56,image_sim,2025-07-14T20:38:44.366872,15782041
갈비,2025-06,2025.06,"dish, 요리, food, 음식, 갈비, 사진,이미지,일러스트,캘리그라피 - neon0083작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_F7D25BAE42F155E3E0FD0531268CDA9E.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_F7D25BAE42F155E3E0FD0531268CDA9E.jpg,56,image_sim,2025-07-14T20:38:53.807202,11420886
라면,2024-06,2024년 6월,"음식, 요리, food, cooking, 라면, 사진,이미지,일러스트,캘리그라피 - 작가 DREAM작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_ABD6E68E1F6C7F42F4B99E0AC8D90D85.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_ABD6E68E1F6C7F42F4B99E0AC8D90D85.jpg,55,image_sim,2025-07-14T20:38:36.305940,20473562
피자,2024-06,2024.06,"pizza, 피자, food, 음식, 맛있는, 사진,이미지,일러스트,캘리그라피 - lapin22작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_F68257AF0EDC4794C9F96EFA192CAB6D.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_F68257AF0EDC4794C9F96EFA192CAB6D.jpg,55,image_sim,2025-07-14T20:38:44.366872,15782041
갈비,2025-06,2025.06,"음식, food, 요리, cooking, 갈비, 사진,이미지,일러스트,캘리그라피 - 작가 DREAM작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_14C26DB4B14687EBDF14CF95A20F7A41.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_14C26DB4B14687EBDF14CF95A20F7A41.jpg,55,image_sim,2025-07-14T20:38:53.807202,11420886
갈비,2025-06,2025.06,"음식, food, 요리, cooking, 갈비, 사진,이미지,일러스트,캘리그라피 - 작가 DREAM작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_00B060A3550EB0175E13AD4BD7F534AB.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_00B060A3550EB0175E13AD4BD7F534AB.jpg,55,image_sim,2025-07-14T20:38:53.807202,11420886
갈비,2025-06,2025.06,"음식, food, 요리, cooking, 갈비, 사진,이미지,일러스트,캘리그라피 - 작가 DREAM작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_4B7302FF1DBA4E20CA1963C13DF91FF7.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_4B7302FF1DBA4E20CA1963C13DF91FF7.jpg,55,image_sim,2025-07-14T20:38:53.807202,11420886
갈비,2025-06,2025.06,"맛집, 갈비, 고기, 음식, food, 사진,이미지,일러스트,캘리그라피 - dbwlsdl091작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_1C34BE158A9229BE2CBA1A9A16F66980.jpeg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_1C34BE158A9229BE2CBA1A9A16F66980.jpeg,55,image_sim,2025-07-14T20:38:53.807202,11420886
치킨,2024-06,24년 6월,"피클 치킨 믹스 누들, 중국 요리, 중국 음식, 맛있는 PNG 일러스트 및 이미지 에 대한 무료 다운로드 - Pngtree",https://png.pngtree.com/png-vector/20220121/ourlarge/pngtree-pickled-pepper-chicken-mixed-noodles-png-image_4358090.png,https://search.pstatic.net/sunny/?type=b150&src=https://png.pngtree.com/png-vector/20220121/ourlarge/pngtree-pickled-pepper-chicken-mixed-noodles-png-image_4358090.png,54,image_sim,2025-07-14T20:38:29.946415,317241121
치킨,2024-06,24년 6월,"음식 일러스트 맛있는 치킨 롤, 중국 요리, 특별한 요리, 성분 PNG 일러스트 및 PSD 이미지 무료 다운로드 - Pngtree",https://png.pngtree.com/png-clipart/20190122/ourlarge/pngtree-food-delicious-chicken-chicken-roll-png-image_529234.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://png.pngtree.com/png-clipart/20190122/ourlarge/pngtree-food-delicious-chicken-chicken-roll-png-image_529234.jpg,54,image_sim,2025-07-14T20:38:29.946415,317241121
치킨,2025-06,2025.06,"음식 일러스트 맛있는 치킨 롤, 중국 요리, 특별한 요리, 성분 PNG 일러스트 및 PSD 이미지 무료 다운로드 - Pngtree",https://png.pngtree.com/png-clipart/20190122/ourlarge/pngtree-food-delicious-chicken-chicken-roll-png-image_529234.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://png.pngtree.com/png-clipart/20190122/ourlarge/pngtree-food-delicious-chicken-chicken-roll-png-image_529234.jpg,54,image_sim,2025-07-14T20:38:33.526927,317241121
치킨,2025-06,25년 6월,"피클 치킨 믹스 누들, 중국 요리, 중국 음식, 맛있는 PNG 일러스트 및 이미지 에 대한 무료 다운로드 - Pngtree",https://png.pngtree.com/png-vector/20220121/ourlarge/pngtree-pickled-pepper-chicken-mixed-noodles-png-image_4358090.png,https://search.pstatic.net/sunny/?type=b150&src=https://png.pngtree.com/png-vector/20220121/ourlarge/pngtree-pickled-pepper-chicken-mixed-noodles-png-image_4358090.png,54,image_sim,2025-07-14T20:38:34.177345,317241121
치킨,2024-06,2024년 6월,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008229.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008229.jpg,53,image_sim,2025-07-14T20:38:28.760758,317241121
치킨,2024-06,2024년 6월,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008225.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008225.jpg,53,image_sim,2025-07-14T20:38:28.760758,317241121
치킨,2024-06,2024년 6월,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008227.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008227.jpg,53,image_sim,2025-07-14T20:38:28.760758,317241121
치킨,2024-06,2024년 6월,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008223.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008223.jpg,53,image_sim,2025-07-14T20:38:28.760758,317241121
치킨,2024-06,2024년 6월,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008226.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008226.jpg,53,image_sim,2025-07-14T20:38:28.760758,317241121
치킨,2024-06,2024년 6월,"치킨, chicken, 닭, 음식, food, 사진,이미지,일러스트,캘리그라피 - MY119작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_A481F08D636D7D87E718C5DDD8C0FB33.png,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_A481F08D636D7D87E718C5DDD8C0FB33.png,53,image_sim,2025-07-14T20:38:28.762233,317241121
치킨,2024-06,2024년 6월,"음식, 식사, food, 치킨, 닭, 사진,이미지,일러스트,캘리그라피 - 모먼트111작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_B7833B98CF26CAA9C91E131B177A7B9A.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_B7833B98CF26CAA9C91E131B177A7B9A.jpg,53,image_sim,2025-07-14T20:38:28.763913,317241121
치킨,2024-06,2024년 6월,"음식, food, 치킨, 후라이드, 요리, 사진,이미지,일러스트,캘리그라피 - cooki작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_523380D22FBAFB90F9C8359089C419CC.jpeg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_523380D22FBAFB90F9C8359089C419CC.jpeg,53,image_sim,2025-07-14T20:38:28.763913,317241121
치킨,2024-06,2024년 6월,간장치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008257.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008257.jpg,53,image_sim,2025-07-14T20:38:28.763913,317241121
